receive_ts;exchange_ts;price;quantity;side;rebuild
1716810808593627;1716810808574000;68480.00000000;10.10900000;bid;1
1716810808594120;1716810808574500;68481.25000000;3.50000000;ask;0
1716810808594635;1716810808575000;68479.75000000;1.25000000;bid;0
1716810808595150;1716810808575500;68482.00000000;7.00000000;ask;0
1716810808595662;1716810808576000;68478.50000000;0.98000000;bid;0
1716810808596180;1716810808576500;68483.10000000;12.00000000;ask;1
1716810808596701;1716810808577000;68477.90000000;5.43000000;bid;0
1716810808597215;1716810808577500;68484.00000000;2.00000000;ask;0
1716810808597730;1716810808578000;68476.30000000;9.75000000;bid;0
1716810808598250;1716810808578500;68485.50000000;4.10000000;ask;1
